Question,Answer,질문날짜,답변날짜
지하철 엘리베이터의 닫힘 버튼을 사용할 수 있도록 해줄 수 있나요?,"안녕하십니까?
귀하께서 고객의소리를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은 “지하철 역사 내 엘리베이터 닫힘 버튼 활성화”에 관한 것으로 판단되며, 귀하의 질의에 대해 검토한 의견은 다음과 같습니다.
 먼저 엘리베이터 이용에 불편을 드려 진심으로 사과드립니다. 현재 우리 공사에서는 ‘교통약자 이동편의증진법’을 준용하여 엘리베이터를 설치 및 운영 중입니다.
 우리 공사에서는 거동이 불편한 장애인등 교통약자가 엘리베이터 탑승 중 이를 인지하지 못한 승객이 닫힘 버튼 사용으로 인한 안전사고 발생 사례, 서울 소재 장애인 단체의 의견수렴 결과를 토대로 엘리베이터의 닫힘 버튼을 비활성화하여 운영 중인 점 이해하여 주시기 바랍니다.
 다만 이용자 불편을 조금이라도 줄이고자 층 도착 시 도어 열림시간 조정이 가능한 호기에 대해 승강기 문이 닫히는 중 다시 열리는 경우, 문 닫히는 시간을 5~10초로 설정하여 운영하고 있으니 참고하여 주시기 바랍니다.
 교통약자의 기준에 맞춰 엘리베이터가 운영돼 답답하고 불편함을 느끼실 수 있는 마음 충분히 공감하며 진심으로 사과드립니다. 모두가 안전한 도시철도시설 이용을 위해 교통약자를 우선 배려하는 너그러운 마음으로 양해 부탁드립니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 서울교통공사 승강기사업소(☏ 02-6110-4947)에 연락해 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다.",2025-06-09,2025-06-09
지하철의 중국어 안내방송이 너무 많다고 느껴지는데 줄일 수 있나요?,"안녕하십니까? 
귀하께서 응답소(시장에게바란다)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은 
3호선 경복궁역 중국어 방송 음원송출 불편에 관한 것으로 이해됩니다.
귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
먼저 저희 서울교통공사 열차이용에 불편을 드려 죄송하다는 말씀드립니다.
 과도한 중국어 안내방송 관련
서울교통공사 1~8호선 열차내 중국어 안내방송은 외국인이 많이 이용하는 역이나, 환승역 또는 역간거리가 긴역 일부에서 국문, 영문, 일문, 중문 4개 국어로 안내방송이 송출되고 있습니다. 
서울교통공사를 이용하고 계시는 많은 승객들은 코로나 이후 외국인이 지하철을 많이 이용하고 있으므로 외국인 안내방송을 더 많이 송출할 수 있도록 요청의 민원이 접수되고 있는 현실입니다.
현재 서울교통공사는 지하철 특성상 역간 거리가 짧아 더많은 안내방송 요청에도 불가함을 알리고 있습니다.
 시끄러운 중국어 안내방송 관련
서울교통공사는 중국인 전문성우를 섭외해서 중국인이 듣기 편한 정상적인 원어민 안내방송을 송출하고 있습니다.
중국어 보다는 중국인은 2명 이상 모이면 시끄럽고 소란을 피우는 빌런들이 종종 발생되고 있어, 오히려 중국어 음성 송출로 무질서에 대한 계도 안내방송을 실시하여 열차내에서는 질서를 지켜 달라는 에티겟 방송을 송출함으로서 질서에 대한 전달이 필요한 사항입니다. 
 외국인에 대한 배려로 영문만 송출 관련
서울교통공사는 현재 공익안내방송을 포함, 일부 환승역 및 외국인이 많이 이용하는 역에서만 국문, 영문, 일문, 중문이 안내방송으로 송출되고 있습니다.
고객님의 말씀처럼 향후 안내방송을 국문과 영문만 송출할 수 있는지 다시한번 검토하도록 노력하겠습니다.
항상 서울교통공사에 관심을 주셔서 감사합니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서울교통공사 승무본부 승무지원처( 02-6311-9699)에 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.
민원행정서비스 개선을 위해 처리결과에 대한 만족도 조사를 실시하고 있습니다. 많은 참여 부탁드립니다.",2025-06-09,2025-06-09
전기차 보조금에서 공동명의가 가능한 가족 범위는 어떻게 되나요?,"안녕하십니까?
귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은 2025년 전기차 보조금 공동명의 조건상 가족 범위에 대한 문의에 관한 것으로 판단 됩니다.
귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
민법 제779조에 따른 가족으로 범위를 정합니다.
민법 제779조(가족의 범위)
  다음의 자는 가족으로 한다.
   배우자, 직계 혈족 및 형제자매
   직계혈족의 배우자, 배우자의 직계혈족 및 배우자의 형제자매
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 기후환경본부 친환경차량과( 02-2133-3644)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",2025-06-04,2025-06-09
출산가정을 위한 전기차 구매 지원은 어떤 혜택이 있나요?,"안녕하십니까?
귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은
전기자동차 구매시 출산가정 지원, 지역할인제 확대, 전기택시 및 택배차 추가지원 등에 대한 의견을 주셨습니다.
 귀하께서 주신 서울시 전기자동차 구매시 추가지원에 대해 검토한 내용에 대해 말씀드리겠습니다.
 서울시는 전기승용차 구매시 다자녀 가구에 대해서는 자녀가 2명인 경우 100만 원, 3명인 경우 200만 원, 4명 이상인 경우 국비 300만 원을 추가지원하고 있습니다. 전기화물 및 전기택시 차량은 제작수입사가 차량가를 50만원 할인해 주면 서울시 지원금을 50만 원 추가 지원해 주고 있으며, 전기택시는 국비 250만원과 시비 50만원을 추가 지원 해주고 있습니다.
 또한, 전기화물차는 택배차량으로 구매시 국비 10%, 소상공인 및 취약계층은 국비 30%를 추가 지원해 주고 있음을 알려드립니다. 
그 밖에 차종별 추가지원 내용은 서울시 홈페이지에 게시되어 있는 공고문( https://www.seoul.go.kr/news/news_notice.do#view/427479)을 참조하시기 바랍니다.
 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 기후환경본부 친환경차량과( 02-2133-9776)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",2025-06-04,2025-06-09
전기차 명의이전 시 보조금 환수 조건은 어떻게 되나요?,"안녕하십니까?
귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은
  타지역에 거주 중인 자에게 전기차 명의이전시 기존에 받은 지자체 보조금 환수 후 명의이전이 가능한지 여부
  서울특별시 거주 중인 자에게 명의이전시 환수 여부 및 방법에 관한것으로 판단됩니다.
귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
   타지역에 사는 자에게 전기차 명의이전시 서울시 판매승인을 신청 후 발급된 고지서 및 판매승인서를 가지고 환수금 납부 한 이후 차량등록사업소 또는 차량등록 관련 부서에서 전기차 명의이전이 가능합니다.
   우리 시에 거주 중인 자에게 명의이전 시 서울시 판매승인 신청 후 서울시 판매승인을 신청 후 발급된 판매승인서를 가지고 차량등록사업소 또는 차량등록 관련 부서에서 전기차 명의이전이 가능합니다.
      판매승인 신청시 https://news.seoul.go.kr/env/eco/eco-vehicle/sale_apprval 에서 의무운행기간 준수동의서를 작성 한 후 신청을 해주시면 담당자 확인 후 고지서 및 판매승인서를 보내드립니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 기후환경본부 친환경차량과( 02-2133-3644)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",2025-06-04,2025-06-09
"전기차 충전율 제한 권고 안내문 정정 요청 및 형평성 있는 화재 예방 대책 촉구 ""아파트 내 전기차 충전율 제한 안내문 정정 요청  전기차 충전율 제한의 실효성에 대한 의문 전기차 배터리 충전율을 80~90%로 제한하는 것이 화재를 예방할 수 있다는 명확한 과학적 근거가 있는지?  내연기관 차량에 대한 형평성 문제 전기차만을 대상으로 한 충전율 제한은 특정 차량 소유자에게만 부담을 가하는 불공정한 조치로 보일 수 있으므로, 휘발유나 경유를 사용하는 내연기관 차량에 대한 유사한 예방 조치 또한 이루어져야함  전기차에 대한 불필요한 공포 조장 우려 안내문으로 인해 전기차에 대한 부정적인 인식이 확대 가능성 존재 및 전기차 소유자들의 재산권에 부당한 영향을 미칠 수 있음  아파트 안내문의 정정 및 철거 요청 해당 안내문이 정정되거나 철거될 수 있도록 조치 요청.  근본적인 화재 예방 대책 필요성 지하주차장의 소방 안전 설비 개선, 화재 감지 및 경보 시스템 강화, 비상 소화장비 설치 및 관리, 소방차 진입로 확보 등 근본적인 대책 필요"" 관련해서 궁금합니다.","안녕하십니까?
귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은 공동주택 지하주차장 전기차 충전율 제한 권고 안내문 삭제 및 합리적인 화재예방 대책 마련 요청으로 판단 됩니다.
귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
 전기차 화재는 특성 상 원인이 다양하고 규명돼 있지 않은 사고들도 상당 부분 존재합니다. 또한 전기차 충전율을 80~90%로 제한하는 것에 대한 과학적 효과 여부는 산학연 전문가들도 의견이 분분합니다.
   전기차 충전율을 제한한다고 해서 모든 전기차 화재를 예방할 수는 없지만, 충전율을 낮추면 낮출수록 배터리 열화를 방지하고 화재확산 속도를 낮출 수 있다고 합니다.
 전기차 및 내연기관 차량도 지하주차장 화재 시 소방설비 미작동 등으로 인해 대형 화재가 발생할 수 있지만, 전기차는 배터리 열폭주 등으로 인해 빠른 시간 내 화재가 발생되며, 화재 진압 시에도 배터리 팩 내부에 직접 주수가 어려워 대량의 물과 다수의 인력이 필요합니다.
  우리 부서에서는 최근 정부에서 발표한‘전기차 화재 안전관리 대책에 발맞춰 분야별 전문가와 충분한 논의를 통해 전기차 안전성을 확보할 수 있도록 관련 사항을 검토 중임을 알려 드립니다. 앞으로 다양한 전기차 화재 대책의 실행과정에서 각 주체의 불이익을 최소화함은 물론, 친환경차 전환 촉진을 위해 전기차를 안전하고 편하게 사용할 수 있는 환경을 만들어나가겠습니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 기후환경본부 친환경차량과( 02-2133-9771)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",2025-06-04,2025-06-09
공공서비스예약 관련 문의 공정한 공공시설 이용을 위해 매크로 방지 요청 관련해서 궁금합니다.,"귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
  서울시는 공공서비스 부정 예약 방지를 위하여  ‘예약하기’ 버튼의 무작위 배열  심플 캡챠(표시되는 그림의 숫자 등을 입력) 구글 캡챠(사용자의 선택에 따라 자동화된 로봇이 아님을 인증)  문자인증(인증번호 발송 및 입력을 통해 본인 확인) 등 매크로 방지기능을 예약시스템에 마련 하여 각 서비스 운영기관이 적절히 사용하도록 안내하고 있습니다. 또한 서울시, 자치구 및 산하 공공기관 등 각 서비스 운영기관(부서)의 관리자가 수시로 예약 시간을 모니터링하여, 비정상 예약으로 판단되는 경우 직권으로 취소하도록 권고하고 있습니다. 이에 더하여 서울시에서는 올해 매크로 사용에 대한 기술적인 제재 방법으로 매크로 차단 솔루션을 도입할 예정입니다.",2025-06-04,2025-06-09
서울시 s map 지도 update 안하나요? 서울시 s map 지도 update 관련 문의 관련해서 궁금합니다.,"안녕하십니까?
 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하께서 말씀하신 내용은 특정 건물이  S-Map 지도에 표출되지 않고 있는 것을 정비하여 달라는 것으로 이해 됩니다.
아쉽게도 우리시 S-Map 지도데이터의 갱신은 분기 1회가 아닌 연 1회 주기로 반영됩니다.
귀하께서 말씀하신 내용을 신속 처리하기 위해, 올해는 항공사진 촬영시기를 평소 보다 앞 당기고 후속 절차를 진행하여,
빠른 시일내에 S-Map에 반영되게 하겠습니다. 앞으로도 우리 시 S-Map에 대하여 많은 활용을 당부 드립니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 디지털도시국 공간정보과 ( 02-2133-2836)로 연락주시면",2025-06-05,2025-06-09
"서울시 디지털도시국 공간정보과 아파트 발코니 외부, 외벽 드론 촬영 문의 드론 촬영 문의 관련해서 궁금합니다.","안녕하십니까?
귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은 아래 3가지 사항으로 판단 됩니다.
  비행을 위한 서울시 비행승인 필요여부 및 드론 촬영사실 공지에 대한 문의
  서울시 포함 타 공공기관에서 우수평가 드론촬영 전문 민간업체 평가 목록 요청
  드론 촬영 가능 거리가 규정된 법령
귀하의 민원을 통한 질의사항에 대해 검토한 의견은 다음과 같습니다.
  우선, 드론 비행승인 및 항공촬영승인은 국토교통부에서 운영 중인 “드론 원스톱 서비스(https://drone.onestop.go.kr/)”를 통해서만 승인신청이 가능하며,
 
     서울시는 비행승인 권한이 없습니다.
     또한, 서울시 홈페이지에 게시한 ""드론 촬영사실 공지방법 안내""는 
     이동형 영상정보처리기기(드론 로 촬영시 「개인정보 보호법」 제25조의2에 의하여 촬영내용을 관련사업자가
     개인정보종합포털(www.privacy.go.kr) > 기업·공공 서비스 > 드론 촬영사실 공지 > 제도 및 신청방법 안내 > 신청방법 안내’에서 신청서(pdf, hwp, xlsx) 다운로드하여 기재한 후
     이메일(visualdata@kisa.or.kr)로 제출하여야 한다는 내용을 알려드린 사항입니다.
  두번째로, 서울시는 드론촬영 전문 민간업체를 관리 및 평가하지 않으며,
      국토교통부 산하 항공안전기술원에서 운영중인 드론정보포털_드론정보_드론기업검색(https: //www.droneportal.or.kr/index.do)을 통해 드론관련 기업에 대해 검색이 가능합니다.
  세번째로, 드론 촬영 거리는 법령으로 규정되어 있는 사항은 없습니만,
      드론조종사는「항공안전법」에 따라 안전 비행해야 하며,「개인정보보호법」등을 준수하여야 함을 알려드립니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 디지털도시국 공간정보과( 02-2133-2849)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",2025-06-05,2025-06-09
서울시_디지털 임신증명서 도입 디지털 임신증명서 도입 요청 관련해서 궁금합니다.,"안녕하십니까? 
귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다.
귀하의 민원내용은 
  기존 서류(산모수첩, 임신확인서 를 통한 임산부 증명의 번거로움 해소
  시에서 제공하는 각종 임산부 우대 혜택 간편 이용을 위한 디지털 임신증명서 도입 요청에 관한 것으로 판단됩니다.
귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다.
    서울시는 지난해 8월부터 「임산부 앱카드」를 발급하고 있습니다. 임산부 앱카드는 기존 서류(산모수첩, 임신확인증 의 지참 없이 간편하게 임산부임을 증빙할 수 있도록 고안된 디지털 서비스입니다.
   임산부 앱카드는 '서울지갑' 앱을 통해 다운로드할 수 있습니다. 앱스토어에서 '서울지갑'을 설치한 후, 모바일 카드 신청 메뉴에서 임산부 카드를 발급받아 사용할 수 있습니다. 보다 자세한 사항은 첨부된 임산부 앱카드 안내 및 다운로드 방법을 참고하시기 바랍니다.
귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 여성가족실 저출생담당관( 02-2133-5019)으로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.",2025-06-07,2025-06-09
