번호,하위분류,제목,문의내용,답변부서,답변내용
1,"(국가주요시설물) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",토목시설물 정기안전점검 자격사항에 문의드립니다.,토목시설물 정기안전점검 진행하려는데 법률 제20044호 부칙 제3조 2항에 따라  회사자격 및 책임기술자로 점검 가능한지 문의드립니다.1. 계약일 2024년 4월 3일 / 시특법 개정 시행일 2024년 7월 17일2. 유지관리업 - 2023년 12월 종합건설업으로 업종전환 함.3. 시설물 : 2종 옹벽(토목) 정기안전점검4. 책임기술자 등급 : 초급(토목),기획조정실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “토목시설물 정기안전점검 자격사항”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.      가. 「시설물의 안전 및 유지관리에 관한 특별법」(이하 ‘시설물안전법’) 부칙 제3조 제2항에 따르면 이 법 시행 당시 종전의 규정에 따른 유지관리업자는 이 법 시행 전에 체결한 시설물의 안전점검, 긴급안전점검 또는 유지관리의 대행 계약에 한정하여 해당 업무를 계속할 수 있습니다.      나. 또한 시행령 부칙대통령령 제34720호 제2조에 따르면 이 영 시행 당시 실시 중인 정기안전점검에 대한 책임기술자의 기술자격 요건에 관하여는 종전의 규정을 따르므로 초급기술자의 자격을 가진 자도 책임기술자로 수행이 가능할 것으로 판단됩니다. 다만, 시행령 [별표5]의 교육요건을 충족하셨는지 확인하여 주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 기획조정실(업무담당 정대헌 ☏ 055-771-4860)으로 문의하여 주시면 친절히 답변 드리겠습니다."
2,안전관리계획서 작성 관련 문의,안전관리계획서 보완작성,안녕하세요 안전관리계획서 보완 작성 관련해서 질의 드립니다.건설기술진흥법 시행규칙 제60조(안전관리비) 제1항 1호에안전관리계획서의 작성 및 검토 비용으로 안전관리비를 사용할 수 있다고 명시되어 있는데안전관리계획서 보완 작성 비용도 건설기술진흥법 상의 안전관리비로 사용할 수 있는지 궁금합니다.,건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리비 사용가능 여부(안전관리계획서 작성비용)”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. 건설기술진흥법 제63조 및 시행규칙 제60조에 따라 안전관리비에 관한 근거가 마련되어 있고, 안전관리비 계상 및 사용에 관한 사항은 건설공사안전관리 업무수행지침 제46조부터 제54조까지가 관련조항입니다.   나. 건설공사의 안전관리비의 계상은 동 지침 제51조제2항에 따라 조정없이 반영하여야하며, 건축물에 대한 정기안전점검은 위 지침 제47조제1항, 제2항 및 제6항에 따라 별표8 요율표에 비례식을 적용한 요율을 적용하여 산출하여야합니다.   다. 최초 편성된 안전관리작성비용 외 추가작성 및 검토 비용, 추가 구조검토 비용 등은 발주처와 협의 하시기 바랍니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을안내 드립니다.감사합니다.                                                            "
3,안전관리계획서 작성 관련 문의,안전관리계획수립,5m이상 거푸집 동바리 사용시 안전관리계획수립인데   저층 3층이라 해당없으나 엘리베이터실이만5m이상입니다 안전관리켸획수립대상인가요 그리고 엘리베이터실 상부 슬라브를 동바리 필요없는 슈퍼데크 사용시에는 수립대상에서 제외됩니까,건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획 수립대상(5미터 이상 거푸집 및 동바리)”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 건설기술진흥법시행령 제98조제1항 제5의2호 제101조의2제1항 각호의 가설구조물을 사용하는 건설공사는 안전관리계획서 수립대상입니다.   나. 질의하신 현장의 경우 데크 설치로 인하여 동바리 높이 5미터 이상에는 해당 되지 않는것으로 문의하였으나, 거푸집 및 동바리 5미터 이상은 말 그대로 거푸집 높이와 동바리 높이가 각각 5미터 이상이면 대상이 됨으로 안전관리계획 수립대상에 포함될것으로 사료됩니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                            "
4,안전관리계획서 작성 관련 문의,안전관리계획서 경미한사항 변경시 CSI 업로드 여부,안전관리계획서 작성 후 안전진단전문기관의 검토를 받은 후 CSI 업로드 및 승인이 완료되었습니다.안전관리계획서 경미한 사항 변경시 발주청 또는 인허가기관에서 판단한다고 되어있습니다.(질의) 안전관리계획서 작성 후 인허가청의 경미한 사항으로 판단될 시 안전관리계획서 변경부분과 승인공문을 CSI에 업로드 하는지 궁금합니다. (안전관리계획서 변경+승인공문 - CSI 업로드) -안전진단전문기관 검토의견서 미첨부 아니면 CSI에 업로드 하지 않고 현장에 보관만 해도 될까요..(인허가청 확인 - 안전관리계획서 변경 - 안전관리계획서 승인공문 - 현장보관),건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “안전관리계획서 및 검토결과 변경 여부”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 안전관리계획서의 변경은 건설기술진흥법시행령 제98조제2항에 “건설사업자와 주택건설등록업자는 법 제62조제1항에 따라 안전관리계획을 수립하여 발주청 또는 인 허가기관의 장에게 제출하는 경우에는 미리 공사감독자 또는 건설사업관리기술인의 검토 확인을 받아야 하며, 건설공사를 착공하기 전에 발주청 또는 인 허가기관의 장에게 제출하여야 한다. 안전관리계획의 내용을 변경하는 경우에도 또한 같다” 로 되어 있습니다. 따라서 안전관리계획서의 최초 제출과 내용이 변경되는 경우 제출하여 변경 승인을 받아야 합니다.   나. 다만 구조 안전성 검토서 변경 등 구조적인 변경 사항외 안전관리계획서 내용중 경미한 변경사항의 경우 변경여부를 발주청 및 인허가 기관과 협의하시길 바랍니다.   다.. 2024.10.11 오후 3시 20분경 유선상 통화를 진행하였으며 해당 질의는 안전관리계획서 및 검토결과 제출에 대한 질의로 판단되며 담당자 연락처를 안내드렸습니다. 추가 질문 사항이 있을시 담당자 건설안전관리실(업무담당 김무룡 ☏ 055-771-1431) 으로 연락주시기 바랍니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 정순호 ☏ 055-771-1444)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
5,"(국가주요시설물) 관련법령, 행정규칙, 하위규정 및 매뉴얼 관련 문의",교량 재하시험 하도급 자격,정밀안전진단 수행 중 교량 재하시험을 발주처에 하도급 신고하여 수행하려고 합니다.교량 재하시험을 하도급 처리할때 재하시험을 수행하는 업체(하도급 받는 업체)가 필수적으로 갖춰야하는 자격요건이 있는지 궁급합니다.,기획조정실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “교량재하시험 하도급자격”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.     가. 「시설물의 안전 및 유지관리에 관한 특별법」(이하 ‘시설물안전법’) 제27조(하도급 제한 등) 제1항에 따라 대통령령에서 정하는 분야에 대해 한차례, 총 도급금액의 100분의 50이하 범위에서 하도급을 실시하실 수 있으며, 그 외 별도의 하도급자격에 대해 규정하고 있지 않습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 기획조정실(업무담당 정대헌 ☏ 055-771-4860)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
6,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",교량 성능목표 등급 선정시 중차량 통행량에 대해 문의드립니다,"수고많으십니다.교량 성능평가를 수행중에 있습니다.교량 성능목표 등급 선정에서 중차량 통행량이 차선당 일반국도 1000대 이상으로 되어 있습니다.여기서, 교통량 정보제공 시스템(TMS)에서 승용차, 버스, 소형화물, 중형화물, 대형화물로 구분되어 있는데중차량 통행량은 다음 케이스중 어떤걸 적용해야 되는지 문의드립니다.1) 소형화물+중형화물+대형화물2) 중형화물+대형화물",시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 ""중차량의 정의”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  중차량은 승용차보다 주행 성능이 떨어지는 차량으로서, 트럭과 버스, 특수차량 등을 지칭합니다.(도로용량편람, 2013)4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가설명이 필요한 경우에는 우리 국토안전관리원 시설성능관리실(업무담당 박준석 ☏ 055-771-8495)으로 문의하여 주시면 친절히 답변 드리겠습니다.6. 끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내드립니다.감사합니다."
7,정밀안전점검 및 정밀안전진단 실시결과 평가 관련 문의,철도 승강장 상태평가 문의드립니다.,"승강장 상태평가를 진행중입니다. 승강장 벽체가 전면 파손으로 손상 정도가 경미하지 않아 평가에 반영하려고 합니다.철도법 세부지침에는 승강장의 손상 평가기준이 균열만 있는 것으로 확인이 됩니다.그럼 균열을 제외한 파손이나 박리, 박락에 대해서는 어떤식으로 평가를 해야 하는지 문의 드립니다. 철도법에 준해서 작성중이지만 철도법 뿐만 아니라 시특법에 대한 평가 방법도 같이 답변 부탁드립니다.",시설안전평가실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.     2. 귀하의 질의내용은 철도 승강장 상태평가에 관한 것으로 이해(또는 판단) 됩니다.     3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.가. 철도건설법에 따른 정밀진단 및 성능평가는「철도시설의 정기점검등에 관한 지침」(이하 ‘지침’) 제17조(정밀진단 및 성능평가의 방법)에 따라 실시하여야 하며, 철도시설관리자는 지침의 내용을 반영하여 세부적인 정밀진단 및 성능평가 기준을 수립하여야 합니다. 다만 소관 시설의 특성 반영 등을 위해 필요한 경우에는 철도시설관리자가 별도의 평가기준·항목·방법을 정하여 실시할 수 있습니다.  따라서, 지침의 정밀진단 및 성능평가 실시방법을 참조하여 철도시설관리자와 협의 후 과업을 수행하시기 바라며, 실시방법 등에 관한 상세내용을 보고서에 기술하는 것이 적절할 것으로 판단됩니다.     나. 시설물안전법에 따른 승강장 상태평가는 과업지시서 상 과업내용 및 범위의 기준에 따라 건축물, 교량, 터널 등으로 구분될 수 있습니다. 관리주체와 현지여건 및 관련자료 등을 종합적으로 검토·협의 후 과업을 수행을 수행하시기 바랍니다.     4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다.개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.     5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설안전평가실(업무담당 박준형 ☏ 055-771-1650)로 문의하여 주시면 친절히 답변 드리겠습니다.     끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.     감사합니다."
8,"교량 등의 안전점검, 정밀안전진단, 성능평가, 유지관리 관련 문의",토양경도 활용시 지반종류,"세부지침(성능평가편) P11-64  표11.57 토양경도계 측정에 따른 등급 의 지반종류는 모래, 모래질 실트, 실트로 분류되어 있습니다.1. 지반종류 분류는 흙의 통일분류법에 따른 분류에 것인지  아니면 분류기준은 무엇인지 2. 정밀점검시 설계 및 시공자료 등 활용할 자료가 없다면 지반종류를  어떤 방법으로  분류 해야하는 지2. 토질조사보고서의 시추주상도의  SM(실트질 모래)은 통일분류법에 의하면 조립토로 분류되는데, 지침상의 모래와     모래질 실트중    어느 것으로 분류하여야 하는지",시설성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “절토사면 내구성능평가”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.  가. “시설물의 안전 및 유지관리 실시 세부지침(성능평가)”에 따른 [표 11.57] 토양경도계 측정에 따른 등급의 지반종류는 ‘흙의 통일분류법’에 따라 분류된 것입니다.       나. 정밀점검 시 시공자료 등 활용할 자료가 없는 경우 지반조사(선택과업)을 통해 지반의 종류를 파악하는 것이 적절할 것으로 판단되나, 현장여건 상 지반조사가 불가능한 경우 인근 사면의 자료를 검토하여 해당 사면의 지반종류를 추정하여야 할 것으로 사료됩니다.       다. “가”의 답변과 같이 [표 11.57] 토양경도계 측정에 따른 등급의 지반종류는 ‘흙의 통일분류법’에 따라 분류된 것으로, 현 세부지침의 ‘모래질 실트’를 ‘실트질 모래’로 수정할 예정입니다. 따라서, 세부지침 개정 전 까지는 시추주상도의 SM(실트질 모래)는 모래질 실트의 기준으로  평가를 수행하시기 바랍니다.  4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 시설성능관리실(업무담당 최호진 ☏ 055-771-8344)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
9,시설물 내진성능평가 및 내진보강 관련 문의,상하수도 처리 시설물 내진성능평가 관련,"현재 국내에서는 내진성능평가 및 내진보강설계 사업이 활발하게 진행중입니다. 이에 따라, 국내 상하수도 처리시설 또한 내진성능평가 과업이 발생하고 있습니다.상하수도 처리시설(관리동, 탈수기동, 유입동 등)의 경우 지상층은 건축구조물, 지하층은 토목구조물로 일반적인 건축물과의 차이점이 있습니다. 이때, 해당 구조물에 대한 내진성능평가 과업을 어떠한 방식으로 수행하는 것이 바람직한지 기술적 의견을 구하고 싶어 글을 남기게 되었습니다.지하,지상을 포함한 하나의 구조물이지만 과업을 수행하기 위해 동반되는 기준 및 평가요령은 아래와 같은 것으로 사료됩니다.1) 지상층(건축구조물)     - 건축물 내진설계기준 (KDS 41 17 00)     - 기존 시설물(건축물) 내진성능 평가요령2) 지하층(토목구조물)     - 상수도 내진설계 (KDS 57 17 00)     - 하수도 내진설계 (KDS 61 15 00)     - 기존 시설물(상수도) 내진성능 평가요령상기 기준 및 평가요령을 살펴보면 성능목표, 평균재현주기 지진력, 설계응답스펙트럼 산정 및 내진성능평가 방법 등 많은 부분이 상이합니다. 또한, 기존 시설물(상수도) 내진성능 평가요령 부록 E를 참조하면 지상 구조물에 대한 내진성능 평가 방법이 기존 시설물(건축물) 내진성능 평가요령과 많이 상이한 부분이 있습니다.따라서, 지하 토목구조물, 지상 건축구조물 처럼 하나의 구조물로 이루어진 시설물에 대하여 어떠한 기준과 어떠한 방법으로 내진성능평가를 수행하면 좋을지 기술적 의견을 부탁드리겠습니다.(Ex. 상,하부 구조물을 분리하여 각각의 기준과 평가요령에 맞게 수행하여야 하는지 등)",내진성능관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “지상-지하 일체구조물의 내진성능평가 방법”에 관한 것으로 이해(또는 판단) 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.가. 상수도 시설물 중 지상-지하 일체형 구조물에 대한 내진성능평가 방법은 현재 기준 등에서 별도로 규정되어 있지 않습니다. 기존 시설물(상수도) 내진성능 평가요령은 실무자들의 이해를 돕기 위한 참고도서로 제시한 지상-지하 일체구조물의 내진성능 평가기법 역시 필수사항이 아닙니다.     나. 일체구조물로 간주하여 기존 시설물(상수도) 내진성능 평가요령의 부록 E와 같이 평가하거나 지상구조물과 지하구조물의 동적 연계가 미미하다고 판단하고 지상, 지하구조물을 분리하여 지상구조물은 건축물 내진성능평가 세부지침 및 KDS 41 17 00(건축물 내진설계기준)에 따라 평가하는 방법 등 관리주체와 협의하시어 책임기술자의 판단하에 합리적인 내진성능평가를 수행하시길 바랍니다. 4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을 알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 내진성능관리실(업무담당 손희재 ☏ 055-771-1463)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다."
10,건설안전종합정보망(CSI) 시스템 관련(시스템 장애 등) 문의,CSI 사용자 등록시 발주기관(자)/관리주체의 소속기관 정보 입력 문의,"안녕하세요,본인은 학교법인의 건설공사 관리자로 CSI 시스템에 승인관리자로 등록하였습니다.법인 하부의 기관에서 시행하는 시설공사 관리자(기관 직원)들을 추가 등록하려고 하였으나,개인정보 입력시 사용자 유형을 발주기관(자)/관리주체로 지정하면 본인 소속기관(회사) 정보 입력시 승인관리자로 자동 선택되고 일반사용자 선택이 불가합니다.발주자 지사나 하부기관 사용자 등록시 일반사용자 등록이 가능하도록 조치 부탁드립니다.감사합니다.",건설안전관리실,"1. 안녕하십니까 평소 우리 국토안전관리원에 관심과 애정을 가져 주신 점 깊이 감사드리며, 귀하께서 질의하신 내용에 대한 검토 결과를 다음과 같이 답변 드립니다.2. 귀하의 질의내용은 “CSI 사용자 등록 시 '발주기관(자)/관리주체' 유형 등록”에 관한 것으로 이해 됩니다.3. 귀하의 질의사항에 대한 검토 의견은 다음과 같습니다.   가. 발주기관(자)/관리주체 사용자 유형의 경우에는 국토안전관리원의 시스템 관리자가 일괄 관리/승인하고 있어, 해당 유형으로 가입하고자 하는 경우에는 모두 승인관리자로 가입하셔야 합니다.   나. 승인관리자로 사용자 등록 요청 시 해당기관의 사업자 등록증을 첨부하셔야 하며, 시스템 관리자는 해당 사업자 등록증을 검토 후 사용자 승인 처리가 됩니다.   다. 해당 기관에서의 사용자의 퇴사 등으로 인한 소속 변경이 필요한 경우에는 시스템 관리자에게 문의주시면 상담 후 조치해드리겠습니다.4. 본 답변내용은 해당 질의에만 국한되며 개별 사실내용 및 시기의 변동 등으로 유사사례인 경우에도 본 답변 내용과 다른 해석이 있을 수 있습니다. 개별 사실내용에 대한 별도의 참조자료 및 증거자료로 활용하는 것은 국토안전관리원의 견해와는 관련이 없음을알려드립니다.5. 귀하의 질문에 대한 만족스러운 답변이 되었기를 바라며, 답변내용에 대한 추가 설명이 필요한 경우에는 건설안전관리실(업무담당 이창우 ☏ 055-771-1427)으로 문의하여 주시면 친절히 답변 드리겠습니다.   끝으로 질의에 대한 답변에 만족도 평가를 부탁드리오며, 귀하의 소중한 의견은 민원서비스 개선을 위한 자료가 됨을 안내 드립니다.    감사합니다.                                                             "
